Label,x,y,elevation
CA234,-67.13104655,17.98114698,60
CA235,-67.13101058,17.97211155,60
CA236,-67.13097461,17.96307613,36
CA237,-67.13064963,17.95434879,11
CA238,-67.12787063,17.94914858,9
CB175,-67.12332608,18.51185527,0
CB176,-67.12366971,18.50522473,0
CB177,-67.12363402,18.49618981,53
CB178,-67.12359832,18.48715488,63
CB179,-67.12356263,18.47811993,70
CB180,-67.12352695,18.46908496,96
CB181,-67.12349126,18.46004998,119
CB182,-67.12345558,18.45101499,142
CB183,-67.12341991,18.44197998,163
CB184,-67.12338424,18.43294495,187
CB185,-67.12334857,18.42390992,200
CB186,-67.12331291,18.41487487,192
CB187,-67.12327725,18.4058398,132
CB188,-67.12324159,18.39680473,61
CB189,-67.12320594,18.38776964,29
CB190,-67.12317029,18.37873454,51
CB191,-67.12313464,18.36969943,51
CB192,-67.123099,18.3606643,60
CB193,-67.12306336,18.35162916,73
CB194,-67.12302773,18.34259401,97
CB195,-67.1229921,18.33355885,111
CB196,-67.12295647,18.32452368,111
CB197,-67.12292085,18.3154885,157
CB198,-67.12288523,18.30645331,130
CB199,-67.12284961,18.29741811,93
CB200,-67.122814,18.28838289,96
CB201,-67.12277839,18.27934767,83
CB202,-67.12274278,18.27031244,34
CB203,-67.12270718,18.26127719,21
CB204,-67.12267158,18.25224194,59
CB205,-67.12263599,18.24320668,63
CB206,-67.1226004,18.23417141,73
CB207,-67.12256481,18.22513613,134
CB208,-67.12252923,18.21610084,108
CB209,-67.12249365,18.20706555,90
CB210,-67.12245808,18.19803024,67
CB211,-67.1224225,18.18899493,123
CB212,-67.12238694,18.17995962,79
CB213,-67.12235137,18.17092429,71
CB214,-67.12231581,18.16188896,71
CB215,-67.12228025,18.15285362,69
CB216,-67.1222447,18.14381827,56
CB217,-67.12220915,18.13478292,20
CB218,-67.1221736,18.12574756,14
CB219,-67.12213806,18.1167122,13
CB220,-67.12210252,18.10767683,13
CB221,-67.12206699,18.09864145,13
CB222,-67.12203145,18.08960607,16
CB223,-67.12199593,18.08057068,114
CB224,-67.1219604,18.07153529,171
CB225,-67.12192488,18.0624999,121
CB226,-67.12188936,18.0534645,92
CB227,-67.12185385,18.04442909,58
CB228,-67.12181834,18.03539369,35
CB229,-67.12178283,18.02635828,16
CB230,-67.12174733,18.01732286,38
CB231,-67.12171183,18.00828744,98
CB232,-67.12167634,17.99925202,98
CB233,-67.12164085,17.9902166,172
CB234,-67.12160536,17.98118117,103
CB235,-67.12156988,17.97214575,103
CB236,-67.1215344,17.96311032,42
CB237,-67.12182163,17.95439127,20
CB238,-67.12394227,17.94895495,9
CC175,-67.11427157,18.51217527,0
CC176,-67.11420021,18.50525856,0
CC177,-67.114165,18.49622364,63
CC178,-67.11412979,18.4871887,71
CC179,-67.11409459,18.47815375,82
CC180,-67.1140594,18.46911878,99
CC181,-67.1140242,18.4600838,120
CC182,-67.11398901,18.4510488,143
CC183,-67.11395383,18.44201379,184
CC184,-67.11391865,18.43297877,193
CC185,-67.11388347,18.42394373,193
CC186,-67.11384829,18.41490868,200
CC187,-67.11381312,18.40587361,189
CC188,-67.11377796,18.39683854,111
CC189,-67.11374279,18.38780345,53
CC190,-67.11370763,18.37876834,57
CC191,-67.11367247,18.36973323,76
CC192,-67.11363732,18.3606981,57
CC193,-67.11360217,18.35166296,84
CC194,-67.11356703,18.34262781,95
CC195,-67.11353188,18.33359265,106
CC196,-67.11349675,18.32455748,106
CC197,-67.11346161,18.31552229,165
CC198,-67.11342648,18.3064871,180
CC199,-67.11339135,18.29745189,144
CC200,-67.11335623,18.28841668,92
CC201,-67.11332111,18.27938145,36
CC202,-67.11328599,18.27034622,36
CC203,-67.11325088,18.26131097,57
CC204,-67.11321577,18.25227572,68
CC205,-67.11318066,18.24324046,63
CC206,-67.11314556,18.23420519,73
CC207,-67.11311046,18.2251699,134
CC208,-67.11307537,18.21613462,108
CC209,-67.11304028,18.20709932,90
CC210,-67.11300519,18.19806401,102
CC211,-67.1129701,18.1890287,122
CC212,-67.11293502,18.17999338,178
CC213,-67.11289995,18.17095805,140
CC214,-67.11286487,18.16192272,78
CC215,-67.1128298,18.15288738,98
CC216,-67.11279474,18.14385203,61
CC217,-67.11275968,18.13481668,26
CC218,-67.11272462,18.12578132,17
CC219,-67.11268956,18.11674595,13
CC220,-67.11265451,18.10771058,14
CC221,-67.11261946,18.0986752,15
CC222,-67.11258442,18.08963982,34
CC223,-67.11254938,18.08060443,102
CC224,-67.11251434,18.07156904,170
CC225,-67.11247931,18.06253364,134
CC226,-67.11244428,18.05349824,67
CC227,-67.11240925,18.04446283,67
CC228,-67.11237423,18.03542743,40
CC229,-67.11233921,18.02639201,24
CC230,-67.11230419,18.0173566,15
CC231,-67.11226918,18.00832118,49
CC232,-67.11223417,17.99928575,146
CC233,-67.11219917,17.99025033,122
CC234,-67.11216417,17.9812149,69
CC235,-67.11212917,17.97217947,69
CC236,-67.11209418,17.96314404,36
CC237,-67.11174573,17.95437585,15
CC238,-67.11507423,17.94949178,6
CC238,-67.10787704,17.94925223,6
CC238,-67.11179395,17.94887178,6
CD175,-67.10418923,18.51267074,0
CD176,-67.10473069,18.50529192,54
CD177,-67.10469598,18.496257,63
CD178,-67.10466126,18.48722206,70
CD179,-67.10462655,18.4781871,81
CD180,-67.10459184,18.46915213,98
CD181,-67.10455714,18.46011715,117
CD182,-67.10452244,18.45108215,141
CD183,-67.10448774,18.44204714,174
CD184,-67.10445305,18.43301211,195
CD185,-67.10441836,18.42397707,200
CD186,-67.10438368,18.41494202,201
CD187,-67.104349,18.40590695,166
CD188,-67.10431432,18.39687188,98
CD189,-67.10427964,18.38783678,57
CD190,-67.10424497,18.37880168,82
CD191,-67.1042103,18.36976656,79
CD192,-67.10417564,18.36073143,67
CD193,-67.10414098,18.35169629,71
CD194,-67.10410632,18.34266114,82
CD195,-67.10407167,18.33362598,108
CD196,-67.10403702,18.3245908,108
CD197,-67.10400237,18.31555562,165
CD198,-67.10396773,18.30652042,194
CD199,-67.10393309,18.29748521,194
CD200,-67.10389845,18.28845,92
CD201,-67.10386382,18.27941477,36
CD202,-67.10382919,18.27037953,36
CD203,-67.10379457,18.26134429,57
CD204,-67.10375995,18.25230903,68
CD205,-67.10372533,18.24327377,99
CD206,-67.10369072,18.23423849,114
CD207,-67.10365611,18.22520321,188
CD208,-67.1036215,18.21616792,198
CD209,-67.1035869,18.20713262,135
CD210,-67.1035523,18.19809732,110
CD211,-67.1035177,18.189062,181
CD212,-67.10348311,18.18002668,223
CD213,-67.10344852,18.17099135,161
CD214,-67.10341393,18.16195602,87
CD215,-67.10337935,18.15292067,103
CD216,-67.10334477,18.14388532,57
CD217,-67.1033102,18.13484997,29
CD218,-67.10327563,18.12581461,19
CD219,-67.10324106,18.11677924,14
CD220,-67.1032065,18.10774386,15
CD221,-67.10317194,18.09870848,15
CD222,-67.10313738,18.0896731,19
CD223,-67.10310283,18.08063771,136
CD224,-67.10306828,18.07160232,129
CD225,-67.10303373,18.06256692,148
CD226,-67.10299919,18.05353152,98
CD227,-67.10296465,18.04449611,71
CD228,-67.10293011,18.0354607,35
CD229,-67.10289558,18.02642528,21
CD230,-67.10286105,18.01738986,21
CD231,-67.10282653,18.00835444,76
CD232,-67.10279201,17.99931902,153
CD233,-67.10275749,17.99028359,70
CD234,-67.10272297,17.98124816,41
CD235,-67.10268846,17.97221273,41
CD236,-67.10265396,17.9631773,24
CD237,-67.10264588,17.95416826,13
CD238,-67.10433104,17.94940637,6
CE175,-67.09522407,18.51380757,0
CE176,-67.09526118,18.50532481,24
CE177,-67.09522695,18.49628989,54
CE178,-67.09519273,18.48725495,59
CE179,-67.09515851,18.47821999,77
CE180,-67.09512429,18.46918502,107
CE181,-67.09509007,18.46015003,127
CE182,-67.09505586,18.45111503,148
CE183,-67.09502166,18.44208002,182
CE184,-67.09498745,18.43304499,197
CE185,-67.09495325,18.42400995,205
CE186,-67.09491906,18.4149749,204
CE187,-67.09488486,18.40593983,151
CE188,-67.09485067,18.39690475,77
CE189,-67.09481649,18.38786965,60
CE190,-67.09478231,18.37883455,85
CE191,-67.09474813,18.36979943,79
CE192,-67.09471395,18.3607643,79
CE193,-67.09467978,18.35172916,72
CE194,-67.09464561,18.342694,82
CE195,-67.09461145,18.33365884,108
CE196,-67.09457729,18.32462366,108
CE197,-67.09454313,18.31558848,165
CE198,-67.09450898,18.30655328,194
CE199,-67.09447483,18.29751807,194
CE200,-67.09444068,18.28848285,198
CE201,-67.09440653,18.27944762,174
CE202,-67.09437239,18.27041238,60
CE203,-67.09433826,18.26137714,37
CE204,-67.09430413,18.25234188,101
CE205,-67.09427,18.24330661,172
CE206,-67.09423587,18.23427134,182
CE207,-67.09420175,18.22523605,188
CE208,-67.09416763,18.21620076,208
CE209,-67.09413351,18.20716546,165
CE210,-67.0940994,18.19813015,155
CE211,-67.09406529,18.18909484,242
CE212,-67.09403119,18.18005951,257
CE213,-67.09399709,18.17102418,129
CE214,-67.09396299,18.16198885,93
CE215,-67.0939289,18.1529535,91
CE216,-67.09389481,18.14391815,91
CE217,-67.09386072,18.13488279,69
CE218,-67.09382664,18.12584743,36
CE219,-67.09379256,18.11681206,23
CE220,-67.09375848,18.10777668,22
CE221,-67.09372441,18.0987413,18
CE222,-67.09369034,18.08970592,34
CE223,-67.09365627,18.08067053,131
CE224,-67.09362221,18.07163513,197
CE225,-67.09358815,18.06259973,148
CE226,-67.09355409,18.05356432,98
CE227,-67.09352004,18.04452892,67
CE228,-67.09348599,18.0354935,43
CE229,-67.09345195,18.02645809,22
CE230,-67.09341791,18.01742267,25
CE231,-67.09338387,18.00838724,86
CE232,-67.09334983,17.99935182,133
CE233,-67.0933158,17.99031639,65
CE234,-67.09328178,17.98128096,65
CE235,-67.09324775,17.97224553,65
CE236,-67.09339568,17.96333018,44
CE237,-67.09506877,17.95593674,11
CF175,-67.08610336,18.51342932,22
CF176,-67.08579166,18.50535724,53
CF177,-67.08575792,18.49632231,72
CF178,-67.08572419,18.48728737,72
CF179,-67.08569046,18.47825241,87
CF180,-67.08565673,18.46921744,110
CF181,-67.085623,18.46018245,132
CF182,-67.08558928,18.45114745,156
CF183,-67.08555556,18.44211244,182
CF184,-67.08552185,18.43307741,201
CF185,-67.08548814,18.42404236,217
CF186,-67.08545443,18.41500731,224
CF187,-67.08542073,18.40597224,226
CF188,-67.08538703,18.39693715,77
CF189,-67.08535333,18.38790206,60
CF190,-67.08531964,18.37886695,85
CF191,-67.08528595,18.36983183,79
